date,tag,asset,download_count,delta
2026-09-24,sparknotify-v0.1.1,sparknotify-0.1.1-ign83-bundle.zip,2,
2026-09-24,sparknotify-v0.2.0,SHA256SUMS.txt,4,
2026-09-24,sparknotify-v0.2.0,sparknotify-0.2.0-ign81-bundle.zip,7,
2026-09-24,sparknotify-v0.2.0,sparknotify-0.2.0-ign83-bundle.zip,6,
2026-09-24,sparknotify-v0.2.0-3.0,NOTES.md,1,
2026-09-24,sparknotify-v0.2.0-3.0,SHA256SUMS.txt,2,
2026-09-24,sparknotify-v0.2.0-3.0,SparkNotify.modl,4,
2026-09-24,sparknotify-v0.2.1-3.0,SHA256SUMS.txt,0,
2026-09-24,sparknotify-v0.2.1-3.0,SparkNotify.modl,1,
2026-09-24,sparknotify-v0.2.2-ign83,SHA256SUMS.txt,1,
2026-09-24,sparknotify-v0.2.2-ign83,SparkNotify.modl,1,
2026-09-24,sparkrecord-v0.1.0,SHA256SUMS.txt,3,
2026-09-24,sparkrecord-v0.1.0,sparkrecord-0.1.0-ign81-bundle.zip,3,
2026-09-24,sparkrecord-v0.1.0,sparkrecord-0.1.0-ign83-bundle.zip,3,
2026-09-24,sparkrecord-v0.1.0-3.0,NOTES.md,0,
2026-09-24,sparkrecord-v0.1.0-3.0,SHA256SUMS.txt,1,
2026-09-24,sparkrecord-v0.1.0-3.0,sparkrecord.modl,3,
2026-09-24,sparks7-v0.1.0,sparks7-0.1.0-ign81-bundle.zip,0,
2026-09-24,sparks7-v0.1.0,sparks7-0.1.0-ign83-bundle.zip,0,
2026-09-24,sparks7-v0.1.1,sparks7-0.1.1-ign81-bundle.zip,1,
2026-09-24,sparks7-v0.1.1,sparks7-0.1.1-ign83-bundle.zip,1,
2026-09-24,sparks7-v0.3.0,NOTES.md,0,
2026-09-24,sparks7-v0.3.0,SHA256SUMS.txt,1,
2026-09-24,sparks7-v0.3.0,SparkS7-0.3.0-ign81.modl,4,
2026-09-24,sparks7-v0.3.0,SparkS7-0.3.0-ign83.modl,2,
2026-09-24,sparks7-v0.3.1,SHA256SUMS.txt,1,
2026-09-24,sparks7-v0.3.1,SparkS7.modl,2,
2026-09-24,sparksnmp-v0.1.0,sparksnmp-0.1.0-ign81-bundle.zip,0,
2026-09-24,sparksnmp-v0.1.0,sparksnmp-0.1.0-ign83-bundle.zip,0,
2026-09-24,sparksnmp-v0.1.1,sparksnmp-0.1.1-ign81-bundle.zip,2,
2026-09-24,sparksnmp-v0.1.1,sparksnmp-0.1.1-ign83-bundle.zip,1,
2026-09-24,sparksnmp-v0.1.2,NOTES.md,1,
2026-09-24,sparksnmp-v0.1.2,SHA256SUMS.txt,2,
2026-09-24,sparksnmp-v0.1.2,SparkSNMP-0.1.2-ign81.modl,4,
2026-09-24,sparksnmp-v0.1.2,SparkSNMP-0.1.2-ign83.modl,3,
2026-09-24,sparksnmp-v0.1.3,SHA256SUMS.txt,0,
2026-09-24,sparksnmp-v0.1.3,SparkSNMP.modl,1,
2026-09-24,sparksnmp-v0.1.3-ign83,SHA256SUMS.txt,1,
2026-09-24,sparksnmp-v0.1.3-ign83,SparkSNMP.modl,1,
2026-09-24,sparkvalidate-v0.1.0,sparkvalidate-0.1.0-cli-bundle.zip,3,
2026-09-24,sparkvalidate-v0.1.0,sparkvalidate-0.1.0-gateway-bundle.zip,5,
2026-09-24,sparkvalidate-v0.1.0,sparkvalidate-0.1.0-ign83-bundle.zip,4,
2026-09-24,sparkvalidate-v0.1.1,SHA256SUMS.txt,0,
2026-09-24,sparkvalidate-v0.1.1,SparkValidate.modl,1,
2026-09-24,sparkvault-v0.1.0,NOTES.md,1,
2026-09-24,sparkvault-v0.1.0,SHA256SUMS.txt,2,
2026-09-24,sparkvault-v0.1.0,SparkVault-Historian.modl,4,
2026-09-24,sparkvault-v0.1.0-ign83,SHA256SUMS.txt,2,
2026-09-24,sparkvault-v0.1.0-ign83,SparkVault-Historian.modl,2,
2026-09-24,ti505-v1.0.0-3.0,NOTES.md,0,
2026-09-24,ti505-v1.0.0-3.0,SHA256SUMS.txt,1,
2026-09-24,ti505-v1.0.0-3.0,TI505-Driver.modl,3,
2026-09-24,ti505-v1.0.1-3.0,SHA256SUMS.txt,1,
2026-09-24,ti505-v1.0.1-3.0,TI505-Driver.modl,2,
2026-09-24,unsbridge-v0.1.0,NOTES.md,0,
2026-09-24,unsbridge-v0.1.0,SHA256SUMS.txt,1,
2026-09-24,unsbridge-v0.1.0,SparkBridge-Passage.modl,3,
2026-09-24,v2.4.0,sparkbridge-2.4.0-ign81-bundle.zip,0,
2026-09-24,v2.4.0,sparkbridge-2.4.0-ign83-bundle.zip,1,
2026-09-24,v2.5.0,sparkbridge-2.5.0-ign81-bundle.zip,1,
2026-09-24,v2.5.0,sparkbridge-2.5.0-ign83-bundle.zip,1,
2026-09-24,v2.6.0,SHA256SUMS.txt,2,
2026-09-24,v2.6.0,sparkbridge-2.6.0-ign81-bundle.zip,2,
2026-09-24,v2.6.0,sparkbridge-2.6.0-ign83-bundle.zip,2,
2026-09-24,v2.6.0,sparkbridge-signing-cert.pem,1,
2026-09-24,v2.7.0,SHA256SUMS.txt,1,
2026-09-24,v2.7.0,sparkbridge-2.7.0-ign81-bundle.zip,4,
2026-09-24,v2.7.0,sparkbridge-2.7.0-ign83-bundle.zip,2,
2026-09-24,v2.7.0,sparkbridge-signing-cert.pem,0,
2026-09-24,v2.8.0,NOTES.md,3,
2026-09-24,v2.8.0,SHA256SUMS.txt,1,
2026-09-24,v2.8.0,sparkbridge-2.8.0-ign81-bundle.zip,4,
2026-09-24,v2.8.0,sparkbridge-2.8.0-ign83-bundle.zip,3,
2026-09-24,v2.8.0,sparkbridge-broker-extension-2.8.0.zip,4,
2026-09-24,v2.8.0,SparkBridge-Edge.modl,2,
2026-09-24,v2.8.0,SparkBridge-Host.modl,2,
